,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-18T18:15:31.346+01:00, 0.105E+00,   0.10454, 0.42812E+01
       2,2026-02-18T18:15:31.426+01:00, 0.105E+00,   0.20907, 0.45781E+01
       3,2026-02-18T18:15:31.576+01:00, 0.105E+00,   0.31361, 0.50469E+01
       4,2026-02-18T18:15:31.642+01:00, 0.105E+00,   0.41814, 0.52969E+01
       5,2026-02-18T18:15:31.728+01:00, 0.105E+00,   0.52268, 0.55781E+01
       6,2026-02-18T18:15:31.835+01:00, 0.530E-01,   0.57569, 0.59844E+01
       7,2026-02-18T18:15:31.935+01:00, 0.519E-01,   0.62762, 0.63594E+01
       8,2026-02-18T18:15:31.998+01:00, 0.519E-01,   0.67954, 0.66406E+01
       9,2026-02-18T18:15:32.092+01:00, 0.459E-01,   0.72547, 0.69844E+01
      10,2026-02-18T18:15:32.190+01:00, 0.459E-01,   0.77140, 0.73125E+01
      20,2026-02-18T18:15:33.012+01:00, 0.179E-01,   0.99821, 0.10438E+02
      30,2026-02-18T18:15:33.731+01:00, 0.150E-01,   1.14836, 0.13266E+02
      40,2026-02-18T18:15:34.479+01:00, 0.124E-01,   1.28281, 0.16141E+02
      50,2026-02-18T18:15:35.159+01:00, 0.109E-01,   1.39372, 0.18859E+02
      60,2026-02-18T18:15:35.858+01:00, 0.972E-02,   1.49827, 0.21609E+02
      70,2026-02-18T18:15:36.556+01:00, 0.972E-02,   1.59546, 0.24250E+02
      80,2026-02-18T18:15:37.228+01:00, 0.865E-02,   1.68945, 0.26922E+02
      90,2026-02-18T18:15:37.978+01:00, 0.865E-02,   1.77596, 0.29844E+02
     100,2026-02-18T18:15:38.716+01:00, 0.952E-02,   1.87112, 0.32766E+02
     200,2026-02-18T18:15:47.105+01:00, 0.925E-02,   2.76208, 0.65219E+02
     300,2026-02-18T18:15:56.351+01:00, 0.998E-02,   3.69462, 0.10097E+03
     400,2026-02-18T18:16:05.516+01:00, 0.810E-02,   4.62820, 0.13653E+03
     500,2026-02-18T18:16:14.306+01:00, 0.108E-01,   5.55746, 0.17091E+03
     600,2026-02-18T18:16:23.356+01:00, 0.108E-01,   6.54684, 0.20631E+03
     700,2026-02-18T18:16:32.773+01:00, 0.887E-02,   7.48932, 0.24273E+03
     800,2026-02-18T18:16:41.892+01:00, 0.102E-01,   8.48145, 0.27844E+03
     900,2026-02-18T18:16:51.480+01:00, 0.102E-01,   9.48353, 0.31561E+03
    1000,2026-02-18T18:17:00.913+01:00, 0.929E-02,  10.51676, 0.35198E+03
    1100,2026-02-18T18:17:11.691+01:00, 0.916E-02,  11.46126, 0.39362E+03
    1200,2026-02-18T18:17:23.254+01:00, 0.922E-02,  12.46545, 0.43836E+03
    1300,2026-02-18T18:17:35.226+01:00, 0.112E-01,  13.44347, 0.48462E+03
    1400,2026-02-18T18:17:46.629+01:00, 0.104E-01,  14.39930, 0.52886E+03
    1500,2026-02-18T18:17:57.937+01:00, 0.106E-01,  15.36489, 0.57275E+03
    1600,2026-02-18T18:18:09.670+01:00, 0.101E-01,  16.46885, 0.61800E+03
    1700,2026-02-18T18:18:20.262+01:00, 0.943E-02,  17.47897, 0.65930E+03
    1800,2026-02-18T18:18:31.066+01:00, 0.996E-02,  18.46207, 0.70152E+03
    1900,2026-02-18T18:18:42.062+01:00, 0.102E-01,  19.47726, 0.74461E+03
    2000,2026-02-18T18:18:53.231+01:00, 0.101E-01,  20.42426, 0.78831E+03
    2100,2026-02-18T18:19:03.113+01:00, 0.110E-01,  21.48826, 0.82669E+03
    2200,2026-02-18T18:19:13.252+01:00, 0.833E-02,  22.48490, 0.86567E+03
    2300,2026-02-18T18:19:25.290+01:00, 0.101E-01,  23.48370, 0.91138E+03
    2400,2026-02-18T18:19:36.599+01:00, 0.968E-02,  24.44742, 0.95480E+03
    2500,2026-02-18T18:19:47.175+01:00, 0.953E-02,  25.47363, 0.99602E+03
    2600,2026-02-18T18:19:58.216+01:00, 0.104E-01,  26.48571, 0.10387E+04
    2700,2026-02-18T18:20:09.837+01:00, 0.110E-01,  27.53691, 0.10836E+04
    2800,2026-02-18T18:20:20.478+01:00, 0.124E-01,  28.61545, 0.11250E+04
    2900,2026-02-18T18:20:31.391+01:00, 0.102E-01,  29.68329, 0.11675E+04
    2928,2026-02-18T18:20:34.477+01:00, 0.123E-01,  30.00000, 0.11796E+04
